,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,Blockchain_5,TxID_1,TxID_2,TxID_3,TxID_4
0,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,BNB CHAIN,Fantom,Avalanche,Fantom,BNB CHAIN,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
1,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620cdc36d3ea681f35ec1abc,620cf2ead3ea681f35ec1dc9,620d07c6d3ea681f35ec2150,620d087cd3ea681f35ec2167
2,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620cf2ead3ea681f35ec1dc9,620d07c6d3ea681f35ec2150,620d087cd3ea681f35ec2167,620d1435d3ea681f35ec23b9
3,0xbd9e8e2bad7c6bb4dd6d8910c317d04eb5c6c618,USDC,Fantom,Polygon,BNB CHAIN,Polygon,Avalanche,6209b0f7d3ea681f35eba10e,6209c5c12219a24b7e94d308,6209f02f854f936fad88b923,620a14f4854f936fad88c065
4,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620fa0839e1cf703a57a10f4,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c,620fa4b99e1cf703a57a118e
5,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,USDT,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620b2ed7854f936fad894d9b,620b7ff7854f936fad89670b,620b840f854f936fad896886,620b8466854f936fad89689a
6,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,DERC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620a078a854f936fad88be25,620a08cd854f936fad88be8a,620a102d854f936fad88bfc3,620a1160854f936fad88bff7
7,0x8039f3aa709fec29fdc5f075449b23ab609a6998,USDT,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620a8b72d3ea681f35ebbf50,620aad39d3ea681f35ebc494,620afe4ed3ea681f35ebd043,620b3297d3ea681f35ebd76f
8,0x8039f3aa709fec29fdc5f075449b23ab609a6998,USDT,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620aad39d3ea681f35ebc494,620afe4ed3ea681f35ebd043,620b3297d3ea681f35ebd76f,620b4c61d3ea681f35ebdaf9
9,0xac569e0f62c7cbbb987518692aae056a0ae1dd18,DAI,Polygon,Fantom,Polygon,Fantom,Polygon,620adf18d3ea681f35ebcc07,620af5a9d3ea681f35ebcf1a,620b0c5cd3ea681f35ebd232,620b307cd3ea681f35ebd730
10,0x5628ba07034e625180fb6d3a46932a1012f76984,BANANA,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620931822219a24b7e94b612,620972402219a24b7e94c3ca,6209b2362219a24b7e94cf1e,6209e1f32219a24b7e94d79a
11,0x9a3e402475cfccd645440e09466eb3c530d7163d,USDC,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620c6fd4854f936fad89c523,620c7d70854f936fad89c84d,620cb67326b3d8ba9857db8c,620cc8b026b3d8ba9857e149
12,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620e84a762d48eee70ee318c,620e899962d48eee70ee340b,620e8a2762d48eee70ee3443,620e8b0362d48eee70ee34b2
