,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,Blockchain_5,TxID_1,TxID_2,TxID_3,TxID_4
0,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620fa0839e1cf703a57a10f4,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c,620fa4b99e1cf703a57a118e
1,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,DERC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620a078a854f936fad88be25,620a08cd854f936fad88be8a,620a102d854f936fad88bfc3,620a1160854f936fad88bff7
2,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620e84a762d48eee70ee318c,620e899962d48eee70ee340b,620e8a2762d48eee70ee3443,620e8b0362d48eee70ee34b2
3,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620e899962d48eee70ee340b,620e8a2762d48eee70ee3443,620e8b0362d48eee70ee34b2,620e8ef362d48eee70ee36cf
4,0x47a3ed852e37477cf1ba297f8288e06230b2d543,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Avalanche,620e7cc862d48eee70ee2e1c,620e7dcf62d48eee70ee2e8b,620e7e7362d48eee70ee2ed6,620e81f262d48eee70ee3045
5,0xb324a5c8e61dba2a4a03a053f8c42629a0226d56,USDC,BNB CHAIN,Fantom,Polygon,BNB CHAIN,Polygon,620d1a8a3c8253c5fb8b90a8,620d1be33c8253c5fb8b915f,620d20b43c8253c5fb8b92aa,620d2afa3c8253c5fb8b9470
6,0xb324a5c8e61dba2a4a03a053f8c42629a0226d56,USDC,Fantom,Polygon,BNB CHAIN,Polygon,Fantom,620d1be33c8253c5fb8b915f,620d20b43c8253c5fb8b92aa,620d2afa3c8253c5fb8b9470,620d2cd43c8253c5fb8b94c5
7,0x0000023cbc437683aec074e3cb75ad38ae2e87e1,USDT,Ethereum,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620a155d854f936fad88c071,620a1604854f936fad88c07d,620a17da854f936fad88c12b,620a18b1854f936fad88c1b8
8,0x2fc092eb640b78bf990e232c8beb6b83d903da96,USDC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620f941811d45e0a4966fc46,620f98a711d45e0a4966fd4d,620f9fb411d45e0a4966fef6,620fa13e11d45e0a4966ff56
9,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,62099e7f2219a24b7e94ca75,6209a00c2219a24b7e94cb02,6209a1bb2219a24b7e94cb90,6209a3ce2219a24b7e94cc86
10,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620b5de7854f936fad895d64,620b6000854f936fad895eb9,620b618c854f936fad895f8d,620b6357854f936fad896077
11,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620c5732854f936fad89b3b0,620c5986854f936fad89b53f,620c5c91854f936fad89b774,620c5e47854f936fad89b90d
12,0x12c759a7d404931d9b02212f36e33a70d2bbe4aa,DAI,Avalanche,Polygon,Avalanche,Polygon,BNB CHAIN,620c182b854f936fad899ae0,620c1b5b854f936fad899c03,620c1f10854f936fad899d01,620c2289854f936fad899dfd
13,0xbc2f84903bf44896998ec70e5923ca368433574c,USDC,Fantom,Avalanche,Fantom,Avalanche,Polygon,620e753a62d48eee70ee279b,620e76a262d48eee70ee295a,620e775c62d48eee70ee2a41,620e796862d48eee70ee2c8e
14,0x27878afd9e691936d71cc660b0a809ac1fa4ef89,USDC,Fantom,BNB CHAIN,Avalanche,BNB CHAIN,Fantom,620baa80854f936fad89738c,620baab7854f936fad8973a9,620bb29b854f936fad89763d,620bbbb3854f936fad897b30
