,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,TxID_1,TxID_2,TxID_3
0,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,62134ec39e1cf703a57a9587,62134eff9e1cf703a57a9598,62134f789e1cf703a57a95bc
1,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,RDT,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620b8db6d3ea681f35ebe53f,620b8e30d3ea681f35ebe555,620b8ea3d3ea681f35ebe56c
2,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620fa0839e1cf703a57a10f4,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c
3,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c,620fa4b99e1cf703a57a118e
4,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,INV,Fantom,Ethereum,Fantom,Ethereum,6210cc889e1cf703a57a3992,6210cd019e1cf703a57a39a3,6210cd3e9e1cf703a57a39aa
5,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,USDT,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620b7ff7854f936fad89670b,620b840f854f936fad896886,620b8466854f936fad89689a
6,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,ETH,Avalanche,Fantom,Polygon,Fantom,620a2d72854f936fad88c6ae,620a2cdd854f936fad88c6a1,620a2dc2854f936fad88c6b6
7,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,MLT,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620a8078854f936fad88df19,620a80dc854f936fad88df4a,620a817d854f936fad88df9a
8,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620ab771854f936fad890ecd,620ab7f5854f936fad890f7e,620ab8ad854f936fad891079
9,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620e84a762d48eee70ee318c,620e899962d48eee70ee340b,620e8a2762d48eee70ee3443
10,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620e899962d48eee70ee340b,620e8a2762d48eee70ee3443,620e8b0362d48eee70ee34b2
11,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620e8a2762d48eee70ee3443,620e8b0362d48eee70ee34b2,620e8ef362d48eee70ee36cf
12,0x47a3ed852e37477cf1ba297f8288e06230b2d543,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620e7cc862d48eee70ee2e1c,620e7dcf62d48eee70ee2e8b,620e7e7362d48eee70ee2ed6
13,0x47a3ed852e37477cf1ba297f8288e06230b2d543,USDC,BNB CHAIN,Fantom,BNB CHAIN,Avalanche,620e7dcf62d48eee70ee2e8b,620e7e7362d48eee70ee2ed6,620e81f262d48eee70ee3045
14,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620a10aa854f936fad88bfe2,620a10fd854f936fad88bfea,620a1172854f936fad88bffb
15,0x0b7abcd0a947ee625a898642ebe24bcdb3a1848a,USDT,BNB CHAIN,Polygon,Avalanche,BNB CHAIN,621266bb11d45e0a496894d4,6212686f11d45e0a49689532,62126b6011d45e0a496895e4
16,0xb324a5c8e61dba2a4a03a053f8c42629a0226d56,USDC,BNB CHAIN,Fantom,Polygon,BNB CHAIN,620d1a8a3c8253c5fb8b90a8,620d1be33c8253c5fb8b915f,620d20b43c8253c5fb8b92aa
17,0x81c4a126b101ef7eb6d54bc0d6e88465c265bd91,USDC,BNB CHAIN,Fantom,Avalanche,Fantom,62122e7f9e1cf703a57a6c32,62122ebe9e1cf703a57a6c3b,621230d99e1cf703a57a6c86
18,0x193db18a5ef9a0320b7374c1fe8af976235f3211,WBTC,BNB CHAIN,Fantom,Ethereum,Fantom,620f3c812aaabc039b737709,620f42012aaabc039b737c11,620f42a42aaabc039b737cb4
