,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,TxID_1,TxID_2
0,0x81e47ec85e310c75c247a861fed5cc9d8ddf990c,USDC,Polygon,Fantom,Avalanche,621292fe11d45e0a49689d64,6212f6eb11d45e0a4968bbe2
1,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,USDC,Fantom,BNB CHAIN,Fantom,620fbf2711d45e0a49670b6d,620fccbf11d45e0a49671096
2,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,USDC,BNB CHAIN,Fantom,BNB CHAIN,620fccbf11d45e0a49671096,621029e411d45e0a4967403d
3,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,BIFI,BNB CHAIN,Fantom,BNB CHAIN,621230c211d45e0a4968745d,6212528c9e1cf703a57a72d8
4,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,BIFI,Fantom,BNB CHAIN,Polygon,6212528c9e1cf703a57a72d8,6212569e11d45e0a49688f03
5,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,620f712811d45e0a4966f298,620f801311d45e0a4966f70a
6,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,ALPACA,Fantom,BNB CHAIN,Fantom,620f801311d45e0a4966f70a,620f866a11d45e0a4966f875
7,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,WOO,BNB CHAIN,Fantom,BNB CHAIN,62125d5811d45e0a4968927e,6212638011d45e0a496893f9
8,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,USDT,Fantom,BNB CHAIN,Avalanche,620f37529e1cf703a57a02c2,620f64159e1cf703a57a0878
9,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,USDC,Fantom,BNB CHAIN,Fantom,62093482d3ea681f35eb8cdf,62093c07d3ea681f35eb8e2b
10,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,USDC,BNB CHAIN,Fantom,Polygon,62093c07d3ea681f35eb8e2b,6209487bd3ea681f35eb9073
11,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,ETH,Fantom,BNB CHAIN,Polygon,620f7ffd9e1cf703a57a0c8a,62101a319e1cf703a57a24d5
12,0x77047677b341ff3724af069026ed1d149d2ddedc,USDT,Fantom,Avalanche,Fantom,620ea565dcf15fd1a428152e,620f5d4a9e1cf703a57a079d
13,0x77047677b341ff3724af069026ed1d149d2ddedc,USDT,Avalanche,Fantom,Avalanche,620f5d4a9e1cf703a57a079d,620fab8b9e1cf703a57a1265
14,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Polygon,Avalanche,Polygon,6211cdea9e1cf703a57a5e28,6211d6299e1cf703a57a5f2b
15,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Avalanche,Polygon,BNB CHAIN,6211d6299e1cf703a57a5f2b,6211d8109e1cf703a57a5f61
16,0x8537307810fc40f4073a12a38554d4ff78efff41,USDT,Polygon,Avalanche,Polygon,620bb388d3ea681f35ebebcf,620bf8e2d3ea681f35ebf934
17,0x8537307810fc40f4073a12a38554d4ff78efff41,USDT,Avalanche,Polygon,Fantom,620bf8e2d3ea681f35ebf934,620c0888d3ea681f35ebfbd7
18,0x8537307810fc40f4073a12a38554d4ff78efff41,DAI,Polygon,Avalanche,Polygon,620d43d9d3ea681f35ec2bfe,620d705dd3ea681f35ec340a
19,0x8537307810fc40f4073a12a38554d4ff78efff41,DAI,Avalanche,Polygon,BNB CHAIN,620d705dd3ea681f35ec340a,620e6f52dcf15fd1a4280bd9
